ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,00:31:42.2860798,-21.1261,-46.5255,0.0,1,-19.7,0.304
20230218,00:31:42.3279442,-21.1341,-46.5156,0.0,1,-16.0,0.252
20230218,00:31:48.8457495,-20.8079,-46.0459,0.0,1,14.2,1.044
20230218,00:31:48.8488983,-20.79,-46.0598,0.0,1,10.6,0.09
20230218,00:31:52.0629209,-20.2594,-45.3524,0.0,1,-16.4,1.963
20230218,00:32:31.7123383,-21.6187,-46.2869,0.0,1,7.3,0.329
20230218,00:32:31.7405447,-21.6218,-46.2838,0.0,1,8.2,0.141
20230218,00:32:45.4073726,-22.8552,-45.2049,0.0,1,-10.5,1.253
20230218,00:32:45.7848686,-21.1752,-46.5894,0.0,1,-9.7,0.72
20230218,00:32:45.7967577,-21.2167,-46.5835,0.0,1,10.2,1.387
20230218,00:32:45.9911464,-21.1271,-46.5758,0.0,1,-22.6,0.398
20230218,00:32:45.9917110,-21.1123,-46.567,0.0,1,-12.3,0.337
20230218,00:34:09.6272125,-21.1113,-46.5129,0.0,1,-24.4,0.414
20230218,00:34:11.6128031,-24.0799,-46.4086,4.3,2,-14.4,0.165
20230218,00:34:16.0985502,-20.527,-45.4074,0.0,1,-22.4,0.705
20230218,00:34:16.2802064,-20.5609,-45.4869,0.0,1,-39.4,1.151
20230218,00:34:16.6321190,-20.3253,-45.8778,0.0,1,-11.4,0.663
20230218,00:35:13.3089652,-20.7821,-46.1127,0.0,1,-34.9,1.02
20230218,00:35:13.3803435,-20.7799,-46.1089,0.0,1,-26.5,0.896
20230218,00:35:15.1085261,-22.8542,-45.1845,0.0,1,29.0,0.3
20230218,00:35:28.1063708,-20.5893,-45.2968,0.0,1,-48.3,3.683
20230218,00:36:03.1933904,-21.3732,-46.4062,0.0,1,-8.2,0.731
20230218,00:36:03.3530967,-21.3736,-46.3204,0.0,1,-37.4,0.448
20230218,00:36:03.3688989,-21.3304,-46.3444,0.0,1,-10.6,0.358
20230218,00:36:44.3758122,-20.7723,-46.0598,0.0,1,21.8,0.217
20230218,00:36:52.0852951,-21.5998,-46.2369,0.0,1,-13.2,0.127
20230218,00:37:17.5642740,-20.58,-45.2967,0.0,1,-23.5,2.817
20230218,00:38:03.4898799,-22.881,-45.1637,0.0,1,-49.7,1.581
20230218,00:38:03.4915787,-22.8801,-45.1614,0.0,1,-17.7,0.986
20230218,00:38:49.7988853,-20.8945,-46.0741,0.0,1,-52.1,1.345
20230218,00:39:54.1544339,-20.5908,-45.3083,0.0,1,-62.1,2.475
20230218,00:41:14.8380803,-20.8665,-46.1352,0.0,1,14.6,0.43
20230218,00:41:48.7043326,-20.5701,-45.3537,0.0,1,-34.5,1.149
20230218,00:41:48.7223833,-20.5654,-45.3492,0.0,1,-18.5,0.766
20230218,00:41:49.6732386,-20.3334,-45.3953,0.0,1,34.6,1.27
20230218,00:41:49.6767797,-20.3116,-45.3778,0.0,1,-66.9,3.514
20230218,00:41:49.8064236,-20.3298,-45.3963,0.0,1,-31.2,0.882
20230218,00:42:19.5270029,-21.6338,-46.2905,0.0,1,-9.8,1.15
20230218,00:43:00.1651641,-21.4028,-46.377,0.0,1,-11.0,0.354
20230218,00:43:00.1656005,-21.4057,-46.376,0.0,1,7.9,0.243
